Principles of Accounting 1,ACCT 12000,001,,,,Online Campus,Lecture Schedule Type,Online Instructional Method,"('ACCT 12000', 'Online', '6:00 pm - 8:40 pm', 'R', 'Online Meeting', 'Jan 16, 2024 - May 11, 2024', 'Lecture', 'Iyad   Rock (P)')"
Principles of Accounting 2,ACCT 12100,001,,,,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,"('ACCT 12100', 'Class/Lecture', '8:00 am - 9:15 am', 'TR', 'St Charles Borromeo SB 171', 'Jan 16, 2024 - May 11, 2024', 'Lecture', 'Iyad   Rock (P)')"
Principles of Accounting 2,ACCT 12100,002,,,,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,"('ACCT 12100', 'Class/Lecture', '9:30 am - 10:45 am', 'TR', 'St Charles Borromeo SB 152', 'Jan 16, 2024 - May 11, 2024', 'Lecture', 'Iyad   Rock (P)')"
Principles of Accounting 2,ACCT 12100,003,,,,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,"('ACCT 12100', 'Class/Lecture', '9:00 am - 10:15 am', 'MW', 'St Charles Borromeo SB 160', 'Jan 16, 2024 - May 11, 2024', 'Lecture', 'Ting   He (P)')"
Intermediate Accounting Theory 2,ACCT 30100,001,,,,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,"('ACCT 30100', 'Class/Lecture', '6:00 pm - 8:40 pm', 'M', 'St Charles Borromeo SB 154', 'Jan 16, 2024 - May 11, 2024', 'Lecture', 'Aristotelis G  Archos (P)')"
Intermediate Accounting Theory 2,ACCT 30100,002,,,,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,"('ACCT 30100', 'Class/Lecture', '10:30 am - 11:45 am', 'MW', 'St Charles Borromeo SB 160', 'Jan 16, 2024 - May 11, 2024', 'Lecture', 'Ting   He (P)')"
Accounting Research and Analysis,ACCT 33500,001,,,,Online Campus,Lecture Schedule Type,Online Instructional Method,"('ACCT 33500', 'Online', 'TBA', '', 'Online Meeting', 'Jan 16, 2024 - May 11, 2024', 'Lecture', ""Thomas P  O'Shea (P)"")"
Principles of Auditing,ACCT 42000,001,,,,Online Campus,Lecture Schedule Type,Online Instructional Method,"('ACCT 42000', 'Online', '6:00 pm - 8:40 pm', 'R', 'Online Meeting', 'Jan 16, 2024 - May 11, 2024', 'Lecture', ""Thomas P  O'Shea (P)"")"
Special Topics in Accounting,ACCT 42500,001,,,,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,"('ACCT 42500', 'Class/Lecture', '11:00 am - 12:15 pm', 'TR', 'St Charles Borromeo SB 143', 'Jan 16, 2024 - May 11, 2024', 'Lecture', 'Aristotelis G  Archos (P)')"
Advanced Federal Tax,ACCT 43100,001,,,,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,"('ACCT 43100', 'Class/Lecture', '6:00 pm - 8:40 pm', 'T', 'St Charles Borromeo SB 142', 'Jan 16, 2024 - May 11, 2024', 'Lecture', 'Philip   Abraham (P)')"
Advanced Tax Topics,ACCT 43500,001,,,,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,"('ACCT 43500', 'Class/Lecture', '12:30 pm - 3:00 pm', 'T', 'St Charles Borromeo SB 143', 'Jan 16, 2024 - May 11, 2024', 'Lecture', 'Carmen   Maurella (P)')"
Managerial Accounting,ACCT 55000,001,,,,Online Campus,Lecture Schedule Type,Online Instructional Method,"('ACCT 55000', 'Online', '6:00 pm - 10:00 pm', 'W', 'Online Meeting', 'Jan 16, 2024 - Mar 09, 2024', 'Lecture', 'Ting   He (P)')"
Managerial Accounting,ACCT 55000,002,,,,Oak Brook Campus,Lecture Schedule Type,Traditional Instructional Method,"('ACCT 55000', 'Class/Lecture', '6:00 pm - 10:00 pm', 'R', 'Oakbrook OB 732', 'Mar 18, 2024 - May 11, 2024', 'Lecture', 'Carmen   Maurella (P)')"
Drawing,ARTS 10000,001,,,,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,"('ARTS 10000', 'Class/Lecture', '9:00 am - 9:50 am', 'MWF', 'Fine Arts FA 105', 'Jan 16, 2024 - May 11, 2024', 'Lecture', 'Leslie   Colonna (P)')"
Drawing,ARTS 10000,002,,,,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,"('ARTS 10000', 'Class/Lecture', '11:00 am - 11:50 am', 'MWF', 'Fine Arts FA 105', 'Jan 16, 2024 - May 11, 2024', 'Lecture', 'Leslie   Colonna (P)')"
Drawing,ARTS 10000,003,,,,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,"('ARTS 10000', 'Class/Lecture', '6:30 pm - 9:00 pm', 'T', 'Fine Arts FA 105', 'Jan 16, 2024 - May 11, 2024', 'Lecture', 'Paul R  Mitchell (P)')"
Drawing for Majors,ARTS 10000,004,,,,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,"('ARTS 10000', 'Class/Lecture', '9:00 am - 9:50 am', 'MWF', 'Fine Arts FA 105', 'Jan 16, 2024 - May 11, 2024', 'Lecture', 'Leslie   Colonna (P)')"
Painting,ARTS 11000,001,,,,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,"('ARTS 11000', 'Class/Lecture', '9:30 am - 10:45 am', 'TR', 'Fine Arts FA 100', 'Jan 16, 2024 - May 11, 2024', 'Lecture', 'Joseph   LoPresti (P)')"
Painting,ARTS 11000,002,,,,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,"('ARTS 11000', 'Class/Lecture', '11:00 am - 12:15 pm', 'TR', 'Fine Arts FA 100', 'Jan 16, 2024 - May 11, 2024', 'Lecture', 'Joseph   LoPresti (P)')"
Painting for Majors,ARTS 11000,003,,,,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,"('ARTS 11000', 'Class/Lecture', '11:00 am - 12:15 pm', 'TR', 'Fine Arts FA 100', 'Jan 16, 2024 - May 11, 2024', 'Lecture', 'Joseph   LoPresti (P)')"
Digital Photography,ARTS 18100,001,,,,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,"('ARTS 18100', 'Class/Lecture', '4:00 pm - 6:29 pm', 'R', 'Fine Arts FA 107', 'Jan 16, 2024 - May 11, 2024', 'Lecture', 'Jennifer A  Moore (P)')"
Digital Photography,ARTS 18100,002,,,,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,"('ARTS 18100', 'Class/Lecture', '6:30 pm - 9:00 pm', 'R', 'Fine Arts FA 219', 'Jan 16, 2024 - May 11, 2024', 'Lecture', 'Jennifer A  Moore (P)')"
