course_name,course_code,section,Fall-2024,registration_dates,level,credit,campus,schedule_type,instructional_method,type,time,days,location,date_range,lecture_type,instructors
Principles of Accounting 1,80130,ACCT 12000,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,Class/Lecture,8:00 am - 9:15 am,MW,St Charles Borromeo SB 171,"Aug 26, 2024 - Dec 14, 2024",Lecture,TBA
Principles of Accounting 1,80131,ACCT 12000,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,Class/Lecture,11:00 am - 12:15 pm,TR,St Charles Borromeo SB 171,"Aug 26, 2024 - Dec 14, 2024",Lecture,Iyad   Rock (P)
Principles of Accounting 1,80133,ACCT 12000,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,Class/Lecture,8:00 am - 9:15 am,TR,St Charles Borromeo SB 171,"Aug 26, 2024 - Dec 14, 2024",Lecture,Iyad   Rock (P)
Principles of Accounting 1,81584,ACCT 12000,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Online Campus,Lecture Schedule Type,Online Instructional Method,Online,TBA,,Online Meeting,"Aug 26, 2024 - Oct 19, 2024",Lecture,TBA
Principles of Accounting 2,80127,ACCT 12100,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,Class/Lecture,6:00 pm - 8:40 pm,M,St Charles Borromeo SB 160,"Aug 26, 2024 - Dec 14, 2024",Lecture,TBA
Principles of Accounting 2,81585,ACCT 12100,Fall-2024,"Apr 08, 2024 to Oct 21, 2024",Undergraduate,3,Online Campus,Lecture Schedule Type,Online Instructional Method,Online,TBA,,Online Meeting,"Oct 21, 2024 - Dec 14, 2024",Lecture,TBA
Intermediate Accounting Theory 1,80125,ACCT 30000,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,Class/Lecture,1:00 pm - 2:15 pm,MW,St Charles Borromeo SB 156,"Aug 26, 2024 - Dec 14, 2024",Lecture,Ting   He (P)
Intermediate Accounting Theory 1,80126,ACCT 30000,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,Class/Lecture,6:00 pm - 8:40 pm,W,St Charles Borromeo SB 154,"Aug 26, 2024 - Dec 14, 2024",Lecture,TBA
Intermediate Accounting 3,80135,ACCT 30200,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,Class/Lecture,9:30 am - 10:45 am,MW,St Charles Borromeo SB 156,"Aug 26, 2024 - Dec 14, 2024",Lecture,Ting   He (P)
Cost Accounting,80122,ACCT 32000,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,Class/Lecture,9:30 am - 10:45 am,TR,St Charles Borromeo SB 106,"Aug 26, 2024 - Dec 14, 2024",Lecture,Iyad   Rock (P)
Cost Accounting,80123,ACCT 32000,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Online Campus,Lecture Schedule Type,Online Instructional Method,Online,6:00 pm - 8:40 pm,W,Online Meeting,"Aug 26, 2024 - Dec 14, 2024",Lecture,TBA
